
> zoo-modeling-app@0.0.0 url-checker
> ./scripts/url-checker.sh

URL	STATUS
000	https://${BASE_URL}
405	https://api.dev.zoo.dev/oauth2/token/revoke
401	https://api.dev.zoo.dev/users
401	https://dev.zoo.dev
401	https://dev.zoo.dev/docs
401	https://dev.zoo.dev/docs/kcl-samples/car-wheel-assembly
301	https://discord.gg/JQEpHR7Nt2
404	https://github.com/KittyCAD/engine/issues/3528
404	https://github.com/KittyCAD/modeling-app/commit/${ref}
302	https://github.com/KittyCAD/modeling-app/issues/new/choose
302	https://github.com/KittyCAD/modeling-app/issues/new?template=bug_report.yml
302	https://github.com/KittyCAD/modeling-app/issues/new?title=${title}&body=${body}
404	https://github.com/KittyCAD/modeling-app/releases/tag/v${version}
521	https://placekitten.com/200/200
000	https://Rt0.yK.com/R2SoRtl/tpUdckyDJ
302	https://stackoverflow.com/a/57390160/22753272
302	https://stackoverflow.com/a/58436959/22753272
303	https://text-to-cad.zoo.dev/dashboard
307	https://zoo.dev/
308	https://zoo.dev/docs/kcl

